Age,Sex,Education,Income,BMI,GenHlth,Diabetes_012,count,noisy_count,noise_added,percent_error
Adult,0,1,4,Overweight-Range,Poor,0,4,4,0,0.0
Adult,0,1,4,Overweight-Range,Poor,2,1,0,-1,100.0
Adult,0,2,1,Normal,Fair,0,3,3,0,0.0
Adult,0,2,1,Normal,Fair,2,2,2,0,0.0
Adult,0,2,1,Normal,Poor,0,16,13,-3,18.75
Adult,0,2,1,Normal,Poor,1,1,1,0,0.0
Adult,0,2,1,Normal,Poor,2,3,3,0,0.0
Adult,0,2,1,Obese,Fair,0,10,11,1,10.0
Adult,0,2,1,Obese,Fair,1,1,0,-1,100.0
Adult,0,2,1,Obese,Fair,2,3,3,0,0.0
Adult,0,2,1,Obese,Good,0,4,6,2,50.0
Adult,0,2,1,Obese,Good,2,3,3,0,0.0
Adult,0,2,1,Obese,Poor,0,20,19,-1,5.0
Adult,0,2,1,Obese,Poor,1,2,3,1,50.0
Adult,0,2,1,Obese,Poor,2,15,15,0,0.0
Adult,0,2,1,Overweight,Fair,0,9,8,-1,11.11
Adult,0,2,1,Overweight,Fair,1,1,1,0,0.0
Adult,0,2,1,Overweight,Fair,2,1,1,0,0.0
Adult,0,2,1,Overweight,Poor,0,12,11,-1,8.33
Adult,0,2,1,Overweight,Poor,1,3,3,0,0.0
Adult,0,2,1,Overweight,Poor,2,7,7,0,0.0
Adult,0,2,2,Normal,Poor,0,8,8,0,0.0
Adult,0,2,2,Normal,Poor,2,1,1,0,0.0
Adult,0,2,2,Obese,Fair,0,10,10,0,0.0
Adult,0,2,2,Obese,Fair,2,1,1,0,0.0
Adult,0,2,2,Obese,Poor,0,16,14,-2,12.5
Adult,0,2,2,Obese,Poor,1,3,3,0,0.0
Adult,0,2,2,Obese,Poor,2,11,11,0,0.0
Adult,0,2,2,Overweight,Fair,0,12,15,3,25.0
Adult,0,2,2,Overweight,Fair,2,1,2,1,100.0
Adult,0,2,2,Overweight,Poor,0,12,13,1,8.33
Adult,0,2,2,Overweight,Poor,2,3,0,-3,100.0
Adult,0,2,2,Overweight-Range,Good,0,6,7,1,16.67
Adult,0,2,2,Overweight-Range,Good,2,1,2,1,100.0
Adult,0,2,3,Normal,Fair,0,5,4,-1,20.0
Adult,0,2,3,Normal,Fair,2,1,1,0,0.0
