Age,Sex,Education,Income,BMI,GenHlth,Diabetes_012,count,noisy_count,noise_added,percent_error
Adult,0.0,1.0,4.0,Overweight-Range,Poor,0.0,4,4,0,0.0
Adult,0.0,1.0,4.0,Overweight-Range,Poor,2.0,1,0,-1,100.0
Adult,0.0,2.0,1.0,Normal,Fair,0.0,3,1,-2,66.67
Adult,0.0,2.0,1.0,Normal,Fair,2.0,2,0,-2,100.0
Adult,0.0,2.0,1.0,Normal,Poor,0.0,16,17,1,6.25
Adult,0.0,2.0,1.0,Normal,Poor,1.0,1,0,-1,100.0
Adult,0.0,2.0,1.0,Normal,Poor,2.0,3,3,0,0.0
Adult,0.0,2.0,1.0,Obese,Fair,0.0,10,10,0,0.0
Adult,0.0,2.0,1.0,Obese,Fair,1.0,1,3,2,200.0
Adult,0.0,2.0,1.0,Obese,Fair,2.0,3,3,0,0.0
Adult,0.0,2.0,1.0,Obese,Good,0.0,4,5,1,25.0
Adult,0.0,2.0,1.0,Obese,Good,2.0,3,3,0,0.0
Adult,0.0,2.0,1.0,Obese,Poor,0.0,20,19,-1,5.0
Adult,0.0,2.0,1.0,Obese,Poor,1.0,2,5,3,150.0
Adult,0.0,2.0,1.0,Obese,Poor,2.0,15,15,0,0.0
Adult,0.0,2.0,1.0,Overweight,Fair,0.0,9,9,0,0.0
Adult,0.0,2.0,1.0,Overweight,Fair,1.0,1,1,0,0.0
Adult,0.0,2.0,1.0,Overweight,Fair,2.0,1,1,0,0.0
Adult,0.0,2.0,1.0,Overweight,Poor,0.0,12,10,-2,16.67
Adult,0.0,2.0,1.0,Overweight,Poor,1.0,3,8,5,166.67
Adult,0.0,2.0,1.0,Overweight,Poor,2.0,7,6,-1,14.29
Adult,0.0,2.0,2.0,Normal,Poor,0.0,8,8,0,0.0
Adult,0.0,2.0,2.0,Normal,Poor,2.0,1,1,0,0.0
Adult,0.0,2.0,2.0,Obese,Fair,0.0,11,10,-1,9.09
Adult,0.0,2.0,2.0,Obese,Fair,2.0,1,1,0,0.0
Adult,0.0,2.0,2.0,Obese,Poor,0.0,16,16,0,0.0
Adult,0.0,2.0,2.0,Obese,Poor,1.0,3,5,2,66.67
Adult,0.0,2.0,2.0,Obese,Poor,2.0,11,13,2,18.18
Adult,0.0,2.0,2.0,Overweight,Fair,0.0,12,11,-1,8.33
Adult,0.0,2.0,2.0,Overweight,Fair,2.0,1,1,0,0.0
Adult,0.0,2.0,2.0,Overweight,Poor,0.0,12,12,0,0.0
Adult,0.0,2.0,2.0,Overweight,Poor,2.0,3,3,0,0.0
Adult,0.0,2.0,2.0,Overweight-Range,Good,0.0,6,6,0,0.0
Adult,0.0,2.0,2.0,Overweight-Range,Good,2.0,1,0,-1,100.0
Adult,0.0,2.0,3.0,Normal,Fair,0.0,5,4,-1,20.0
Adult,0.0,2.0,3.0,Normal,Fair,2.0,1,0,-1,100.0
Adult,0.0,2.0,3.0,Normal,Poor,0.0,6,6,0,0.0
Adult,0.0,2.0,3.0,Normal,Poor,1.0,1,0,-1,100.0
Adult,0.0,2.0,3.0,Normal,Poor,2.0,1,2,1,100.0
Adult,0.0,2.0,3.0,Obese,Fair,0.0,14,12,-2,14.29
Adult,0.0,2.0,3.0,Obese,Fair,2.0,5,5,0,0.0
Adult,0.0,2.0,3.0,Obese,Good,0.0,8,9,1,12.5
Adult,0.0,2.0,3.0,Obese,Good,1.0,1,0,-1,100.0
Adult,0.0,2.0,3.0,Obese,Poor,0.0,22,22,0,0.0
Adult,0.0,2.0,3.0,Obese,Poor,1.0,2,4,2,100.0
Adult,0.0,2.0,3.0,Obese,Poor,2.0,12,12,0,0.0
Adult,0.0,2.0,3.0,Overweight,Fair,0.0,13,14,1,7.69
Adult,0.0,2.0,3.0,Overweight,Fair,1.0,1,3,2,200.0
Adult,0.0,2.0,3.0,Overweight,Good,0.0,8,7,-1,12.5
Adult,0.0,2.0,3.0,Overweight,Poor,0.0,9,9,0,0.0
Adult,0.0,2.0,3.0,Overweight,Poor,1.0,1,0,-1,100.0
Adult,0.0,2.0,3.0,Overweight,Poor,2.0,4,6,2,50.0
Adult,0.0,2.0,4.0,Normal,Fair,0.0,6,9,3,50.0
Adult,0.0,2.0,4.0,Normal,Good,0.0,5,5,0,0.0
Adult,0.0,2.0,4.0,Normal,Poor,0.0,3,4,1,33.33
Adult,0.0,2.0,4.0,Normal,Poor,1.0,2,1,-1,50.0
Adult,0.0,2.0,4.0,Obese,Fair,0.0,13,13,0,0.0
Adult,0.0,2.0,4.0,Obese,Fair,2.0,1,0,-1,100.0
Adult,0.0,2.0,4.0,Obese,Good,0.0,6,9,3,50.0
Adult,0.0,2.0,4.0,Obese,Good,1.0,1,1,0,0.0
Adult,0.0,2.0,4.0,Obese,Good,2.0,1,1,0,0.0
Adult,0.0,2.0,4.0,Obese,Poor,0.0,14,14,0,0.0
Adult,0.0,2.0,4.0,Obese,Poor,1.0,2,0,-2,100.0
Adult,0.0,2.0,4.0,Obese,Poor,2.0,4,4,0,0.0
Adult,0.0,2.0,4.0,Overweight,Fair,0.0,6,6,0,0.0
Adult,0.0,2.0,4.0,Overweight,Fair,2.0,1,1,0,0.0
Adult,0.0,2.0,4.0,Overweight,Good,0.0,6,6,0,0.0
Adult,0.0,2.0,4.0,Overweight,Poor,0.0,7,7,0,0.0
Adult,0.0,2.0,4.0,Overweight,Poor,1.0,1,1,0,0.0
Adult,0.0,2.0,5.0,Any,Good,0.0,4,4,0,0.0
Adult,0.0,2.0,5.0,Any,Good,1.0,1,5,4,400.0
Adult,0.0,2.0,5.0,Normal,Fair,0.0,5,5,0,0.0
Adult,0.0,2.0,5.0,Obese,Fair,0.0,10,10,0,0.0
Adult,0.0,2.0,5.0,Obese,Fair,1.0,1,0,-1,100.0
Adult,0.0,2.0,5.0,Obese,Good,0.0,4,5,1,25.0
Adult,0.0,2.0,5.0,Obese,Good,2.0,1,2,1,100.0
Adult,0.0,2.0,5.0,Obese,Poor,0.0,6,11,5,83.33
Adult,0.0,2.0,5.0,Obese,Poor,1.0,2,4,2,100.0
Adult,0.0,2.0,5.0,Obese,Poor,2.0,7,7,0,0.0
Adult,0.0,2.0,5.0,Overweight,Fair,0.0,12,11,-1,8.33
Adult,0.0,2.0,5.0,Overweight,Poor,0.0,5,6,1,20.0
Adult,0.0,2.0,5.0,Overweight,Poor,1.0,1,1,0,0.0
Adult,0.0,2.0,5.0,Overweight,Poor,2.0,4,5,1,25.0
Adult,0.0,2.0,6.0,Any,Poor,0.0,6,6,0,0.0
Adult,0.0,2.0,6.0,Normal,Fair,0.0,7,7,0,0.0
Adult,0.0,2.0,6.0,Obese,Fair,0.0,7,6,-1,14.29
Adult,0.0,2.0,6.0,Obese,Fair,2.0,1,2,1,100.0
Adult,0.0,2.0,6.0,Obese,Poor,0.0,3,2,-1,33.33
Adult,0.0,2.0,6.0,Obese,Poor,1.0,2,1,-1,50.0
Adult,0.0,2.0,6.0,Obese,Poor,2.0,2,1,-1,50.0
Adult,0.0,2.0,6.0,Overweight,Fair,0.0,9,9,0,0.0
Adult,0.0,2.0,6.0,Overweight-Range,Good,0.0,5,5,0,0.0
Adult,0.0,2.0,7.0,Any,Fair,0.0,6,6,0,0.0
Adult,0.0,2.0,7.0,Overweight,Good,0.0,4,6,2,50.0
Adult,0.0,2.0,7.0,Overweight,Good,2.0,1,2,1,100.0
Adult,0.0,2.0,8.0,Overweight-Range,Good,0.0,5,4,-1,20.0
Adult,0.0,3.0,1.0,Normal,Fair,0.0,11,13,2,18.18
Adult,0.0,3.0,1.0,Normal,Fair,2.0,1,0,-1,100.0
Adult,0.0,3.0,1.0,Normal,Good,0.0,9,8,-1,11.11
Adult,0.0,3.0,1.0,Normal,Good,1.0,1,0,-1,100.0
Adult,0.0,3.0,1.0,Normal,Good,2.0,2,3,1,50.0
Adult,0.0,3.0,1.0,Normal,Poor,0.0,24,28,4,16.67
Adult,0.0,3.0,1.0,Normal,Poor,1.0,2,3,1,50.0
Adult,0.0,3.0,1.0,Normal,Poor,2.0,2,1,-1,50.0
Adult,0.0,3.0,1.0,Obese,Fair,0.0,23,22,-1,4.35
Adult,0.0,3.0,1.0,Obese,Fair,1.0,1,2,1,100.0
Adult,0.0,3.0,1.0,Obese,Fair,2.0,5,4,-1,20.0
Adult,0.0,3.0,1.0,Obese,Good,0.0,12,12,0,0.0
Adult,0.0,3.0,1.0,Obese,Good,1.0,1,1,0,0.0
Adult,0.0,3.0,1.0,Obese,Good,2.0,2,4,2,100.0
Adult,0.0,3.0,1.0,Obese,Poor,0.0,57,56,-1,1.75
Adult,0.0,3.0,1.0,Obese,Poor,1.0,5,4,-1,20.0
Adult,0.0,3.0,1.0,Obese,Poor,2.0,51,50,-1,1.96
Adult,0.0,3.0,1.0,Overweight,Fair,0.0,29,29,0,0.0
Adult,0.0,3.0,1.0,Overweight,Fair,2.0,3,4,1,33.33
Adult,0.0,3.0,1.0,Overweight,Good,0.0,6,5,-1,16.67
Adult,0.0,3.0,1.0,Overweight,Good,2.0,1,1,0,0.0
Adult,0.0,3.0,1.0,Overweight,Poor,0.0,36,38,2,5.56
Adult,0.0,3.0,1.0,Overweight,Poor,1.0,4,4,0,0.0
Adult,0.0,3.0,1.0,Overweight,Poor,2.0,9,8,-1,11.11
Adult,0.0,3.0,1.0,Underweight,Poor,0.0,6,6,0,0.0
Adult,0.0,3.0,2.0,Normal,Fair,0.0,10,10,0,0.0
Adult,0.0,3.0,2.0,Normal,Good,0.0,7,6,-1,14.29
Adult,0.0,3.0,2.0,Normal,Poor,0.0,8,9,1,12.5
Adult,0.0,3.0,2.0,Normal,Poor,1.0,1,1,0,0.0
Adult,0.0,3.0,2.0,Obese,Fair,0.0,32,30,-2,6.25
Adult,0.0,3.0,2.0,Obese,Fair,2.0,7,8,1,14.29
Adult,0.0,3.0,2.0,Obese,Good,0.0,11,10,-1,9.09
Adult,0.0,3.0,2.0,Obese,Good,2.0,2,3,1,50.0
Adult,0.0,3.0,2.0,Obese,Poor,0.0,32,33,1,3.12
Adult,0.0,3.0,2.0,Obese,Poor,1.0,5,5,0,0.0
Adult,0.0,3.0,2.0,Obese,Poor,2.0,24,23,-1,4.17
Adult,0.0,3.0,2.0,Overweight,Fair,0.0,16,16,0,0.0
Adult,0.0,3.0,2.0,Overweight,Fair,2.0,3,2,-1,33.33
Adult,0.0,3.0,2.0,Overweight,Good,0.0,7,7,0,0.0
Adult,0.0,3.0,2.0,Overweight,Good,2.0,1,1,0,0.0
Adult,0.0,3.0,2.0,Overweight,Poor,0.0,21,21,0,0.0
Adult,0.0,3.0,2.0,Overweight,Poor,1.0,1,0,-1,100.0
Adult,0.0,3.0,2.0,Overweight,Poor,2.0,3,4,1,33.33
Adult,0.0,3.0,3.0,Normal,Fair,0.0,11,12,1,9.09
Adult,0.0,3.0,3.0,Normal,Fair,2.0,1,0,-1,100.0
Adult,0.0,3.0,3.0,Normal,Good,0.0,8,9,1,12.5
Adult,0.0,3.0,3.0,Normal,Poor,0.0,15,16,1,6.67
Adult,0.0,3.0,3.0,Normal,Poor,1.0,1,1,0,0.0
Adult,0.0,3.0,3.0,Normal,Poor,2.0,1,1,0,0.0
Adult,0.0,3.0,3.0,Obese,Fair,0.0,38,37,-1,2.63
Adult,0.0,3.0,3.0,Obese,Fair,1.0,2,0,-2,100.0
Adult,0.0,3.0,3.0,Obese,Fair,2.0,8,8,0,0.0
Adult,0.0,3.0,3.0,Obese,Good,0.0,11,11,0,0.0
Adult,0.0,3.0,3.0,Obese,Good,1.0,1,1,0,0.0
Adult,0.0,3.0,3.0,Obese,Good,2.0,1,7,6,600.0
Adult,0.0,3.0,3.0,Obese,Poor,0.0,31,31,0,0.0
Adult,0.0,3.0,3.0,Obese,Poor,1.0,2,2,0,0.0
Adult,0.0,3.0,3.0,Obese,Poor,2.0,25,25,0,0.0
Adult,0.0,3.0,3.0,Overweight,Fair,0.0,27,26,-1,3.7
Adult,0.0,3.0,3.0,Overweight,Fair,1.0,1,1,0,0.0
Adult,0.0,3.0,3.0,Overweight,Fair,2.0,2,1,-1,50.0
Adult,0.0,3.0,3.0,Overweight,Good,0.0,18,19,1,5.56
